id	len	rounds	transition	density1	density2
ENST00000635023.1	255000	21	33884.3	0.305145	0.908738
ENST00000251157.10	233539	37	55000	0.1	1.22429
ENST00000527864.1	72642	200	35003	0.208342	0.614312
ENST00000491076.1	77279	114	45000	0.275	0.725
ENST00000455406.5	156400	28	28458.9	0.187664	1.07552
ENST00000630350.2	255000	47	40000	0.471429	0.705814
ENST00000357731.9	255000	8	160000	0.1	0.571053
ENST00000328299.3	255000	30	53184.3	0.245768	0.849329
ENST00000370812.7	130437	51	35000	0.166667	0.878947
ENST00000445065.5	130441	51	35000	0.166667	0.878947
ENST00000370791.7	98798	74	25000	0.15	0.810714
ENST00000482783.1	81340	95	50000	0.127778	1.35833
ENST00000474957.5	134123	200	59987	0.258857	1.13931
ENST00000370689.6	160437	59	45000	0.25625	0.930435
ENST00000370688.7	127296	66	36364.8	0.152908	0.70744
ENST00000284031.12	146656	83	85000	0.20625	1.075
ENST00000539042.3	146659	35	85000	0.20625	1.07083
ENST00000370571.6	255000	40	23756.6	0.436881	0.964592
ENST00000370551.8	183798	60	55000	0.16	1.16
ENST00000370550.9	195325	92	52081.5	0.123426	1.18731
ENST00000370513.9	148947	29	60000	0.213636	1.20882
ENST00000337338.9	115580	60	25000	0.475	0.752778
ENST00000394593.7	114081	85	25000	0.525	0.720588
ENST00000467231.5	105625	46	55000	0.17	0.86
ENST00000532540.5	203286	165	90000	0.191176	1.45
ENST00000212355.8	205935	146	90000	0.194118	1.4587
ENST00000370310.4	119334	124	45000	0.23125	1.23929
ENST00000613902.4	119363	11	40000	0.128571	1.22333
ENST00000370243.1	119577	170	35000	0.341667	0.953125
ENST00000370244.5	255000	7	10000	0.15	0.627551
ENST00000370214.8	100209	200	49531.2	0.167192	1.28405
ENST00000426398.2	92972	200	44497.6	0.167049	1.17361
ENST00000529992.5	98798	152	40000	0.25	1.15455
ENST00000361544.10	146970	200	69999	0.238454	1.45666
ENST00000336454.3	167678	200	55015.1	0.15512	1.35011
ENST00000527011.5	255000	23	83758.7	0.127826	1.22449
ENST00000370056.8	255000	20	84198.3	0.131467	1.25782
ENST00000369709.3	96909	75	60000	0.218182	1.13571
ENST00000343210.11	77400	193	35000	0.0916667	0.675
ENST00000369617.8	255000	33	110000	0.138095	1.13448
ENST00000369611.4	255000	22	107457	0.145077	1.11246
ENST00000358465.6	118384	200	55000	0.24	1.11667
ENST00000356554.7	161424	131	65000	0.0875	1.40789
ENST00000336338.9	231360	4	1.98325e+19	0.307778	2.10566e-13
ENST00000235521.4	109451	52	50000	0.227778	0.977273
ENST00000368346.7	227426	41	46417.4	0.178375	1.03936
ENST00000368194.7	110531	200	55054.2	0.0753519	1.23719
ENST00000430120.3	255000	23	90000	0.117647	1.3197
ENST00000367866.6	206517	151	90000	0.244118	1.23261
ENST00000528517.5	137017	15	25000	0.05	0.886364
ENST00000367767.5	153263	200	40000	0.0928571	1.09091
ENST00000251507.8	255000	74	60000	0.109091	0.808974
ENST00000457696.1	234556	72	60776	0.11472	0.768812
ENST00000308769.12	255000	45	57894	0.113177	1.1251
ENST00000367649.7	255000	16	103192	0.137054	1.22881
ENST00000367634.6	196695	176	60797.1	0.308052	1.20945
ENST00000324778.5	158138	103	65000	0.333333	1.22222
ENST00000367623.8	121680	85	58398.6	0.323592	0.928885
ENST00000367607.7	160143	70	50000	0.222222	1.21818
ENST00000367589.3	254095	60	75000	0.103571	1.29
ENST00000258341.4	122133	30	71774.9	0.21389	1.25904
ENST00000304685.8	255000	200	50003.8	0.211127	1.03416
ENST00000235307.6	241963	34	43544.7	0.11815	1.15648
ENST00000367435.3	131885	150	70000	0.142308	1.09583
ENST00000367433.9	255000	22	70000	0.226923	1.16892
ENST00000294725.13	255000	72	75000	0.260714	1.17917
ENST00000235453.8	222938	98	48025.7	0.276133	1.10696
ENST00000358823.6	121147	51	31983.3	0.286906	0.988544
ENST00000367218.7	117293	41	20000	0.466667	0.8
ENST00000543354.5	222232	43	52666.1	0.169925	1.05866
ENST00000366959.4	223519	137	50657.5	0.151004	1.0547
ENST00000366956.9	202528	200	94999.2	0.266663	1.6238
ENST00000475275.5	204181	65	28343.7	0.207917	1.15141
ENST00000366933.4	240373	57	46747.6	0.25657	1.06228
ENST00000402574.5	136274	110	60000	0.0727273	1.18667
ENST00000366917.5	133902	200	64176.3	0.124054	1.22918
ENST00000281701.10	103054	44	25000	0.225	0.843333
ENST00000272133.3	124257	68	50000	0.25	0.846429
ENST00000635051.1	155815	35	70000	0.126923	0.838235
ENST00000366844.7	166308	40	70000	0.119231	0.907895
ENST00000366764.6	255000	51	85000	0.25625	1.28088
ENST00000366769.7	255000	136	90000	0.311765	1.28636
ENST00000440339.1	91189	33	50000	0.0277778	0.775
ENST00000391860.6	111890	200	22993.4	0.199909	0.852268
ENST00000258229.13	255000	32	40000	0.242857	0.830233
ENST00000366603.6	160593	200	80156.5	0.157173	1.23288
ENST00000349213.7	161325	200	80174.7	0.150581	1.22054
ENST00000535889.5	108701	104	40000	0.335714	1.18462
ENST00000319653.13	255000	196	44957.6	0.136772	1.14874
ENST00000366541.7	244037	53	43544.7	0.296804	0.854188
ENST00000366539.5	255000	33	39394	0.306609	1.0967
ENST00000407071.6	255000	28	50000	0.283333	1.02439
ENST00000462422.5	255000	59	70000	0.223077	1.19595
ENST00000483271.1	81792	200	40011.1	0.23575	0.96267
ENST00000402736.5	119126	200	50000	0.294444	1.01923
ENST00000612396.4	124792	200	60227	0.19609	0.943914
ENST00000263125.9	153159	6	35000	0.05	1.33261
ENST00000344293.5	198124	200	94848.3	0.185075	1.40658
ENST00000632065.1	255000	52	70000	0.2	1.2
ENST00000357604.9	122813	69	40000	0.207143	1.00937
ENST00000377921.7	226773	200	60000	0.15	0.84697
ENST00000345264.9	226918	47	60000	0.145455	0.843939
ENST00000324631.11	255000	43	24181.4	0.497877	0.963744
ENST00000377242.7	255000	50	100000	0.336842	1.09355
ENST00000417816.2	255000	9	60000	0.2	1.17564
ENST00000447548.5	83497	68	55000	0.075	0.12
ENST00000476103.3	83697	200	73105.4	0.0917696	0.14504
ENST00000376454.7	255000	31	25000	0.3375	0.933696
ENST00000635504.1	171839	39	25000	0.3375	0.846552
ENST00000376378.5	102878	200	45000	0.25625	0.781818
ENST00000320152.10	103998	200	45000	0.25625	0.786363
ENST00000376302.5	89208	54	30000	0.09	1.07273
ENST00000305242.9	186881	34	30000	0.59	0.832258
ENST00000375311.1	187145	105	50146.5	0.11579	0.901145
ENST00000560196.5	183665	7	45000	0.0625	0.946296
ENST00000542815.7	208073	87	47773.9	0.124578	0.95354
ENST00000344936.6	122502	14	60000	0.0909091	0.841667
ENST00000277657.12	128425	16	10000	0.1	0.632609
ENST00000374823.9	133365	75	36633.1	0.146941	0.839182
ENST00000346874.8	255000	87	110000	0.130952	1.07414
ENST00000340077.9	255000	86	110000	0.130952	1.07586
ENST00000492478.5	216132	48	115000	0.0931818	1.4325
ENST00000426557.5	103119	105	60000	0.118182	0.45625
ENST00000361781.6	255000	20	90000	0.282353	1.04697
ENST00000608287.1	164491	200	85000	0.29375	0.756667
ENST00000483649.1	76544	200	20000	0.333333	0.75
ENST00000263102.6	117894	200	60000	0.05	1.29545
ENST00000373758.4	103761	62	72926.8	0.236804	1.21576
ENST00000373053.7	195564	60	56499.3	0.103879	1.21046
ENST00000536019.5	195074	12	58833.7	0.11672	1.23538
ENST00000339859.8	128113	51	23349.9	0.196046	1.02708
ENST00000372391.6	135736	59	55000	0.26	1.27812
ENST00000224756.12	189855	8	55000	0.055	0.982692
ENST00000638429.1	176225	79	38016.4	0.130412	1.07089
ENST00000372037.7	176189	57	36324.2	0.120663	1.06522
ENST00000371953.7	108818	112	40000	0.25	0.919231
ENST00000446394.5	104542	96	40000	0.0285714	0.679167
ENST00000265990.10	106557	132	40000	0.285714	0.996154
ENST00000265997.4	241457	42	26112.7	0.13658	0.843278
ENST00000478361.6	99596	200	47114	0.210716	1.20862
ENST00000265986.10	122393	119	50000	0.238889	1.23214
ENST00000443748.6	211026	41	65000	0.104167	0.92069
ENST00000260762.10	210971	43	65000	0.108333	0.922414
ENST00000225235.4	133427	199	70000	0.0307692	1.26667
ENST00000607232.5	246619	17	65000	0.191667	1.2625
ENST00000371103.8	132160	124	75000	0.132143	0.945455
ENST00000356016.7	125937	87	75000	0.142857	0.865
ENST00000370183.2	171550	91	40000	0.25	0.896154
ENST00000369857.8	104356	26	45000	0.31875	0.786364
ENST00000475954.5	109128	200	55000	0.07	1.195
ENST00000369519.3	195073	174	60000	0.209091	1.05741
ENST00000480057.1	80047	200	45000	0.06875	0.464286
ENST00000609571.5	78012	68	40000	0.335714	1.32143
ENST00000355044.7	255000	109	30407.1	0.265971	0.926086
ENST00000369234.4	208633	11	49152.4	0.303742	1.28548
ENST00000355422.10	209704	82	44519.1	0.309977	1.14188
ENST00000489491.1	84296	88	58009.2	0.0509606	0.695683
ENST00000334464.6	98194	66	60000	0.0636364	1.02143
ENST00000454857.5	159966	48	23788	0.325407	0.947979
ENST00000369058.7	114537	195	50000	0.238889	1.40417
ENST00000423243.5	184744	60	30000	0.33	0.71
ENST00000492237.5	97468	13	10000	2	0.791176
ENST00000337195.9	176197	51	50000	0.405556	0.934
ENST00000476817.1	122174	77	45000	0.425	0.753333
ENST00000368693.5	113052	11	28054.3	0.0542197	0.732193
ENST00000623213.1	255000	64	75000	0.264286	1.075
ENST00000368594.7	245661	37	85000	0.1	1.19844
ENST00000423490.5	172318	32	85000	0.103125	1.39412
ENST00000597346.1	91667	45	20000	0.383333	0.707143
ENST00000355260.7	121660	61	27696.8	0.199262	0.939593
ENST00000324932.11	122783	45	30000	0.24	0.955556
ENST00000299492.8	139987	11	14568.5	2.55382e-14	0.921685
ENST00000315204.5	202086	76	63737.8	0.138223	1.03757
ENST00000534127.5	217601	35	28633.6	0.31594	0.827849
ENST00000399455.2	117258	133	50000	0.0611111	1.17308
ENST00000527636.5	255000	63	45000	0.25	0.95119
ENST00000527376.1	89821	200	30000	0.13	0.477273
ENST00000527998.5	80802	40	50000	0.0333333	0.758333
ENST00000482049.5	80674	20	50000	0.0333333	0.808333
ENST00000534317.1	132404	23	75000	0.164286	0.540909
ENST00000355661.7	226929	35	27634.6	0.172493	0.9961
ENST00000531066.5	236149	58	25966.1	0.14471	0.964992
ENST00000531428.1	130191	151	55000	0.29	1.16333
ENST00000396085.5	255000	10	10000	0	1.02653
ENST00000406787.7	225260	38	32972.3	0.299663	0.997865
ENST00000448418.6	201789	55	100000	0.305263	1.1525
ENST00000452803.1	107151	65	48529.9	0.419252	0.624224
ENST00000640790.1	255000	126	43332.2	0.356509	1.29606
ENST00000299413.6	155203	24	33055.9	0.0628735	1.0352
ENST00000532490.1	255000	200	85027.3	0.212581	1.15305
ENST00000638034.1	158729	63	35000	0.391667	0.895833
ENST00000323180.10	188613	106	70000	0.253846	1.17174
ENST00000527667.5	218430	29	40000	0.378571	1.00143
ENST00000398645.6	138397	20	23526.4	0.147586	0.944311
ENST00000529006.6	138401	117	26644	0.25037	0.946704
ENST00000393800.6	154604	200	70000	0.119231	1.14062
ENST00000265636.9	154440	200	70000	0.123077	1.14062
ENST00000253925.11	113701	30	25000	0.175	0.9
ENST00000311172.11	255000	57	33715.3	0.253799	1.07989
ENST00000409418.8	255000	45	35000	0.283333	1.07045
ENST00000632101.1	185846	39	85000	0.259375	0.9775
ENST00000064778.8	197703	45	85000	0.265625	1.07273
ENST00000340360.10	108958	47	20000	0.383333	0.941176
ENST00000356136.7	255000	181	56027.4	0.158188	1.15809
ENST00000278544.9	161976	26	50000	0.0777778	1.01364
ENST00000533568.5	114655	41	82486.8	0.230625	1.35861
ENST00000526968.1	82193	200	159170	0.225791	0.237888
ENST00000529880.1	108636	78	40000	0.207143	1.01154
ENST00000356360.9	109794	200	52206.2	0.0739901	0.904599
ENST00000532317.5	111376	200	54652.5	0.0921653	0.929107
ENST00000305494.5	255000	56	57894	0.180092	1.15407
ENST00000537874.1	194165	6	135000	9.80147e-24	1
ENST00000524892.6	255000	42	42447.8	0.162515	1.05463
ENST00000398093.7	255000	48	35000	0.4	1.06818
ENST00000347596.2	255000	34	60000	0.127273	0.917949
ENST00000282249.6	255000	114	62564.1	0.159577	0.986376
ENST00000282251.9	131500	52	40000	0.15	0.891667
ENST00000531427.5	97593	200	44760.1	0.218814	1.06091
ENST00000526794.1	255000	41	50000	0.233333	0.95122
ENST00000304987.3	128463	145	55000	0.195	1.25
ENST00000545380.5	255000	28	23465.6	0.193203	1.04491
ENST00000415541.5	252679	125	100000	0.126316	1.345
ENST00000264033.5	101874	105	40000	0.25	0.966667
ENST00000260197.11	181491	31	30000	0.2	1.27667
ENST00000532451.1	94645	86	30000	0.26	1.0625
ENST00000344762.5	87369	22	35000	0.15	1.32
ENST00000525234.1	212581	49	80000	0.293333	0.957692
ENST00000535572.5	158708	200	77311.3	0.121298	1.03591
ENST00000447667.2	74446	44	55000	0.045	0.25
ENST00000396373.8	245549	44	35000	0.341667	1.20238
ENST00000544715.1	102865	86	35000	0.316667	0.938462
ENST00000543091.1	145677	9	65000	0.0791667	1.15
ENST00000540811.5	255000	17	39693.3	0.187356	1.29931
ENST00000539780.5	131235	55	36633.1	0.0893563	0.955085
ENST00000381352.7	120864	40	70000	0.169231	0.88
ENST00000615708.4	120009	200	60120	0.113933	0.826152
ENST00000242737.5	111495	28	46031.4	0.232623	0.480004
ENST00000381340.7	255000	180	55662.5	0.26147	1.13879
ENST00000543534.5	115505	32	50000	0.138889	0.911538
ENST00000551451.5	147976	88	85000	0.25	0.845833
ENST00000536562.5	203050	200	100000	0.136843	1.14
ENST00000545147.5	130780	60	97490.5	0.135128	1.38427
ENST00000340811.8	106096	37	50000	0.283333	1.23182
ENST00000636569.1	149715	56	60000	0.0681818	1.41176
ENST00000280871.8	255000	50	28047.5	0.200536	1.06136
ENST00000298910.11	144208	95	30844.5	0.129149	0.738966
ENST00000337898.10	119302	41	52785.7	0.186099	0.86969
ENST00000552108.6	120870	57	27696.8	0.171291	0.773129
ENST00000546868.5	255000	34	35000	0.25	0.890909
ENST00000320560.12	216232	169	35685.7	0.19628	0.996725
ENST00000588078.5	91366	68	50000	0.194444	0.7375
ENST00000448732.1	120451	90	30000	0.3	1.02222
ENST00000347140.7	177242	59	30000	0.3	1.00517
ENST00000353364.7	156052	113	60000	0.0363636	1.17632
ENST00000552115.5	86517	123	35000	0.166667	1.245
ENST00000228705.6	255000	44	60000	0.290909	1.1859
ENST00000355086.7	255000	109	115000	0.302273	1.42321
ENST00000535239.5	184272	150	30887.6	0.139886	0.812331
ENST00000403681.6	142165	50	40000	0.192857	1
ENST00000393577.7	127414	48	40000	0.207143	1.01176
ENST00000535721.1	177287	69	90000	0.164706	1.19706
ENST00000550169.5	98628	164	68202.7	0.132756	0.815734
ENST00000362025.9	76324	134	25000	0.15	0.57
ENST00000548159.5	110200	200	54697.6	0.133387	0.92891
ENST00000551043.5	110163	200	54697.6	0.133387	0.919869
ENST00000266674.9	146541	26	85000	0.096875	1.35833
ENST00000536515.5	144810	18	85000	0.115625	1.36818
ENST00000261180.8	255000	20	125442	0.315505	0.472761
ENST00000436898.5	86032	23	66096.2	0.324551	0.524822
ENST00000547544.5	108604	200	50000	0.133333	0.722727
ENST00000261183.7	208010	200	45863.4	0.074077	1.09951
ENST00000426126.6	90109	200	45020.7	0.112649	1.17258
ENST00000393240.7	255000	56	23652.8	0.298599	0.735606
ENST00000457153.6	255000	28	20000	0.266667	0.743617
ENST00000328827.8	106224	200	51549.4	0.109608	0.694994
ENST00000550510.5	113604	42	80000	0.09	0.633333
ENST00000437004.6	161055	200	85000	0.10625	1.18667
ENST00000321196.7	255000	26	18222.1	0.226678	0.963996
ENST00000546590.2	255000	42	24181.4	0.436419	0.9721
ENST00000309041.11	92294	84	30000	0.25	1.07083
ENST00000552810.5	93197	19	25000	0.05	1.07308
ENST00000428670.7	120760	200	60133	0.0278101	1.42761
ENST00000547232.5	149686	119	41537.8	0.0499877	1.27267
ENST00000339839.9	151667	100	41761.4	0.0539422	1.20583
ENST00000451107.3	136085	52	50000	0.366667	1.33824
ENST00000542666.5	119531	52	80000	0.0666667	0.921429
ENST00000543119.6	120057	57	75000	0.0392857	0.988889
ENST00000392911.6	76183	131	25000	0.4	0.605
ENST00000392837.8	114722	72	30000	0.3	0.746875
ENST00000470628.2	96760	60	25000	0.175	0.628571
ENST00000389153.8	146609	32	25000	0.2875	0.88125
ENST00000608853.5	147137	44	25000	0.2875	0.875
ENST00000551197.1	166966	200	79999.3	0.126662	0.849998
ENST00000281928.7	255000	142	76248.5	0.113146	1.08356
ENST00000455858.2	120184	25	35000	0.108333	1.03235
ENST00000425217.5	255000	57	55000	0.345	0.9425
ENST00000542532.5	117430	200	40000	0.164286	1.30333
ENST00000261833.11	191498	43	32309.7	0.165521	1.06684
ENST00000536996.5	135057	70	85000	0.178125	1.18
ENST00000353487.6	141862	94	85000	0.184375	1.23636
ENST00000358808.6	151136	111	45000	0.325	0.87619
ENST00000537178.5	150590	200	35358.1	0.212364	0.866202
ENST00000333479.11	99149	65	22456	0.241706	1.04806
ENST00000458234.5	220872	21	45000	0.09375	1.07857
ENST00000610343.4	133160	67	45000	0.14375	1.34412
ENST00000382871.3	127964	121	50000	0.227778	1.34333
ENST00000476895.5	93685	51	67480.4	0.125961	1.20472
ENST00000382374.8	111515	106	65000	0.1125	1.47222
ENST00000316334.4	74494	75	50000	0.261111	1.7875
ENST00000399613.1	156303	200	70000	0.157692	1.27353
ENST00000380617.7	98547	200	45000	0.15625	1.235
ENST00000380615.7	104855	200	50025.3	0.177902	1.25043
ENST00000504114.5	105900	200	20000	0.1	0.620588
ENST00000482955.5	71895	48	55000	0.05	0.25
ENST00000434425.5	148490	31	127290	0.346402	0.727757
ENST00000280481.8	200003	45	40000	0.214286	1.02344
ENST00000379589.3	255000	76	67186.8	0.147482	1.13186
ENST00000379561.5	110931	200	54665	0.0825381	0.495179
ENST00000405737.2	79458	77	55000	0.14	0.4625
ENST00000379310.7	255000	48	55000	0.185	1.06125
ENST00000281496.6	241784	122	51093.4	0.149564	1.03414
ENST00000379274.6	189720	63	21841.5	0.389169	1.14886
ENST00000261488.10	255000	57	60000	0.272727	1.08718
ENST00000458659.2	143047	96	15407.8	0.0253887	0.531621
ENST00000340473.7	164395	103	45000	0.05	0.95
ENST00000242848.8	98282	69	35000	0.158333	0.770833
ENST00000311191.10	199873	64	92679	0.178921	1.4055
ENST00000389797.7	189474	200	93982.5	0.183665	1.39157
ENST00000267163.4	178212	136	51372.8	0.0854162	0.894132
ENST00000378383.5	170779	79	55000	0.245	0.81087
ENST00000541916.5	233170	57	55000	0.25	0.982857
ENST00000261667.7	93615	200	59999.5	0.195454	1.48331
ENST00000398119.6	91643	200	60000	0.254545	0.958333
ENST00000298125.6	183200	200	86801.3	0.120233	1.35908
ENST00000242839.8	78822	47	40000	0.107143	1.19286
ENST00000267215.8	255000	65	67186.8	0.0881867	1.04234
ENST00000400324.8	255000	51	71752.3	0.111621	1.07122
ENST00000196169.7	177422	200	51372.8	0.258351	1.13462
ENST00000484389.6	131899	35	45000	0.2	0.964706
ENST00000377865.6	255000	15	118885	0.166835	0.778752
ENST00000611519.4	255000	74	32531.6	0.261945	1.02279
ENST00000615625.1	233756	20	29107.9	0.207789	0.939513
ENST00000376887.8	255000	62	45000	0.25	1.10238
ENST00000629385.1	205503	80	45000	0.25	1.15781
ENST00000376795.6	114686	114	70000	0.15	1.09375
ENST00000376747.7	251804	57	53124.5	0.166227	1.05651
ENST00000345429.10	171766	6	50000	0.138889	1.26042
ENST00000595437.5	255000	53	85000	0.296875	1.11029
ENST00000376581.9	101825	42	55000	0.205	0.683333
ENST00000539966.5	131679	200	70000	0.05	1.13333
ENST00000397517.6	126953	139	70000	0.0461538	1.10455
ENST00000427887.2	226423	46	22898.4	0.269225	1.05359
ENST00000355700.9	184542	56	55000	0.2	1.24
ENST00000376279.7	255000	25	50000	0.205556	1.32073
ENST00000376285.5	255000	28	50000	0.211111	1.31951
ENST00000543140.5	116389	74	30000	0.28	1.08235
ENST00000375820.8	158187	38	30000	0.28	1.228
ENST00000360467.5	205761	144	41509.3	0.290567	1.1569
ENST00000375736.8	151994	88	85000	0.265625	1.35769
ENST00000375630.6	196840	137	80000	0.226667	1.30217
ENST00000539517.6	151866	194	33570.7	0.212214	0.637184
ENST00000616995.4	255000	40	38352.9	0.175309	1.01734
ENST00000555358.5	130975	110	89190.2	0.373359	1.27584
ENST00000355683.9	132603	200	85000	0.35625	1.21667
ENST00000553700.5	107687	171	31116.2	0.0799188	0.925952
ENST00000551314.1	226199	70	30159	0.116549	0.803567
ENST00000346562.6	255000	33	58080.5	0.389866	0.937214
ENST00000356141.8	255000	23	62010	0.454859	0.92916
ENST00000382422.6	122201	196	55000	0.25	0.869231
ENST00000557611.1	255000	200	60003.9	0.177316	1.1436
ENST00000396294.6	255000	67	53184.3	0.228811	0.993356
ENST00000348007.7	83281	200	39520.3	0.344442	1.42318
ENST00000361577.7	112224	79	40000	0.142857	0.957143
ENST00000361462.6	112193	79	40000	0.142857	0.953571
ENST00000399232.6	255000	50	50000	0.25	1.08293
ENST00000245441.9	111359	40	40000	0.0714286	1.18929
ENST00000360392.4	99013	200	44962.6	0.337395	1.20444
ENST00000554399.1	113264	200	23019.6	0.117201	0.990316
ENST00000554335.5	222031	52	50000	0.3	1.11029
ENST00000420358.2	85947	63	25000	0.3125	1.07917
ENST00000395308.5	100395	103	40000	0.15	1.0125
ENST00000559044.5	172531	56	95000	0.116667	1.38
ENST00000561019.1	171185	200	85274.3	0.103798	1.20586
ENST00000261244.9	120056	61	35000	0.275	0.876471
ENST00000556596.1	77516	136	45000	0.125	0.341667
ENST00000556135.1	102810	200	72926.8	0.212298	1.47117
ENST00000332981.9	229260	117	90000	0.167647	1.1963
ENST00000555899.1	167538	200	85000	0.234375	1.15313
ENST00000337537.7	172018	200	85160	0.234706	1.15141
ENST00000341472.9	107886	200	44729	0.135966	0.856103
ENST00000556626.5	133601	200	40665	0.232666	1.12444
ENST00000459628.5	255000	100	71752.3	0.0970247	1.06835
ENST00000553936.5	255000	69	75000	0.15	1.06944
ENST00000556433.5	85071	188	45000	0.125	1.16875
ENST00000193403.10	105298	200	52085.3	0.177454	1.34924
ENST00000554215.5	100745	76	40000	0.164286	1.10833
ENST00000342745.4	103547	78	70000	0.0192308	0.583333
ENST00000439984.7	202380	62	60000	0.2	1.1875
ENST00000553453.5	208922	103	75000	0.210714	1.18269
ENST00000555652.5	255000	12	70000	0.153846	1.08514
ENST00000556509.5	255000	32	24181.4	0.313722	0.98013
ENST00000557031.5	102212	182	35000	0.116667	0.746154
ENST00000356296.8	183304	43	38105.2	0.151589	1.05875
ENST00000216484.6	110777	50	40000	0.15	1.08214
ENST00000557594.5	255000	14	45000	0.14375	1.01786
ENST00000428277.6	255000	56	50000	0.272222	1.00366
ENST00000216517.10	111523	200	35283.1	0.0601252	0.738511
ENST00000380664.9	176686	52	60000	0.168182	1.20652
ENST00000556609.5	157641	50	25000	0.4375	0.563462
ENST00000536315.6	188631	137	70000	0.0961538	1.18478
ENST00000554999.5	157086	200	50273.2	0.107634	0.99666
ENST00000354313.7	179005	200	55017	0.135158	1.16258
ENST00000256339.8	255000	11	123780	0.145227	0.533454
ENST00000304338.7	105424	83	45000	0.0375	1.40417
ENST00000556714.5	107545	32	60000	0.172727	1.1
ENST00000555775.5	153438	51	27361.5	0.251802	0.74503
ENST00000554175.5	78972	69	21157.3	0.140542	0.589295
ENST00000359520.11	139519	21	42240.2	0.253511	0.793007
ENST00000262241.6	137916	33	81727.4	0.258887	1.07722
ENST00000361246.6	125084	200	60000	0.104545	1.51154
ENST00000622697.4	229528	13	91741.7	0.254276	1.12334
ENST00000558402.5	232342	56	57468.3	0.185464	1.13179
ENST00000559709.5	167735	75	60000	0.209091	1.04762
ENST00000558371.5	255000	89	65000	0.170833	0.886842
ENST00000637519.1	138549	200	67253.5	0.124321	1.04818
ENST00000501169.2	255000	13	168727	0.222932	0.97365
ENST00000559210.1	255000	11	168531	0.220142	0.971447
ENST00000566621.5	230613	10	65000	0.154167	1.19697
ENST00000437989.6	230401	63	70000	0.203846	1.21094
ENST00000299084.8	104924	98	45000	0.125	1.04545
ENST00000299092.3	121194	21	101208	0.263923	0.444794
ENST00000558357.5	136667	22	23526.4	0.112644	0.974788
ENST00000458630.5	255000	55	33173.9	0.142515	1.07059
ENST00000417257.5	255000	38	39394	0.247578	1.05973
ENST00000560955.5	126479	44	30000	0.27	1.15526
ENST00000560508.1	97100	84	18098.8	0.0354854	0.735166
ENST00000449909.7	173824	82	65000	0.275	1.2881
ENST00000553916.5	215538	46	105000	0.1825	1.28182
ENST00000358212.10	221763	186	80000	0.116667	1.14464
ENST00000561152.1	246912	157	75892.1	0.106292	1.1396
ENST00000430119.6	111849	200	54021.7	0.142128	1.14388
ENST00000537372.5	112500	200	54021.7	0.147228	1.16175
ENST00000402627.5	152723	189	65000	0.141667	1.17059
ENST00000260408.7	161172	143	65000	0.145833	1.17105
ENST00000557998.5	108294	80	30000	0.28	0.843333
ENST00000558571.1	145045	200	72295.6	0.153902	1.11607
ENST00000551975.5	255000	85	105000	0.2325	1.315
ENST00000561400.1	137819	70	60000	0.0590909	1.28333
ENST00000431932.6	130348	200	40275.1	0.282638	1.18172
ENST00000564674.5	100836	200	45000	0.34375	1.24091
ENST00000307102.9	105496	200	52415.4	0.0287313	1.2197
ENST00000327367.8	129351	200	59999.7	0.254542	1.06538
