id	len	rounds	transition	density1	density2
ENST00000476817.1	122174	4	10000	0.45	1.16136
ENST00000368693.5	113052	74	39035.9	0.492128	0.704581
ENST00000623213.1	255000	6	10000	0.45	1.05
ENST00000368594.7	245661	61	30000	0.42	1.02442
ENST00000423490.5	172318	38	22962.2	0.315965	1.12607
ENST00000597346.1	91667	3	10000	0.8	1.04688
ENST00000355260.7	121660	26	15000	0.85	1.14286
ENST00000324932.11	122783	20	14504.9	0.8	1.14362
ENST00000299492.8	139987	5	10000	1.15	1.006
ENST00000315204.5	202086	4	10000	0.55	1.18684
ENST00000534127.5	217601	4	10000	2	1.19268
ENST00000399455.2	117258	52	25000	0.3875	1.17222
ENST00000527636.5	255000	6	10000	0.85	1.31429
ENST00000527376.1	89821	6	10000	0.85	1.06333
ENST00000527998.5	80802	57	25000	0.4	1.23182
ENST00000482049.5	80674	60	25000	0.4	1.22727
ENST00000534317.1	132404	5	10000	0.95	1.37083
ENST00000355661.7	226929	6	10000	1.1	1.20581
ENST00000531066.5	236149	4	10000	1.05	1.18222
ENST00000531428.1	130191	5	10000	0.2	1.18958
ENST00000396085.5	255000	9	10000	1.35	1.22449
ENST00000406787.7	225260	3	10000	0.45	1.42093
ENST00000448418.6	201789	3	10000	2	1.38684
ENST00000452803.1	107151	57	20000	0.55	0.961765
ENST00000640790.1	255000	4	10000	0.5	1.45816
ENST00000299413.6	155203	5	10000	0.4	1.18103
ENST00000532490.1	255000	4	10000	0.1	1.1102
ENST00000638034.1	158729	4	10000	0.85	0.989655
ENST00000323180.10	188613	4	10000	0.4	1.37857
ENST00000527667.5	218430	4	10000	1.1	1.1
ENST00000398645.6	138397	4	10000	0.45	1.178
ENST00000529006.6	138401	4	10000	0.45	1.184
ENST00000393800.6	154604	17	14617.6	0.75	1.02515
ENST00000265636.9	154440	21	15000	0.75	1.01852
ENST00000253925.11	113701	4	10000	0.35	1.08
ENST00000311172.11	255000	3	10000	0.6	1.36837
ENST00000409418.8	255000	4	10000	0.55	1.34082
ENST00000632101.1	185846	8	10000	0.35	1.30143
ENST00000064778.8	197703	7	10000	0.35	1.30405
ENST00000340360.10	108958	4	10000	1.3	1.17895
ENST00000356136.7	255000	6	10000	0.4	1.37347
ENST00000278544.9	161976	5	10000	0.85	1.27667
ENST00000533568.5	114655	3	10000	0.5	1.455
ENST00000526968.1	82193	5	10000	0.45	1.425
ENST00000529880.1	108636	4	10000	0.75	1.39474
ENST00000356360.9	109794	47	25000	0.35	1.42813
ENST00000532317.5	111376	43	25000	0.3375	1.42059
ENST00000305494.5	255000	8	15000	0.15	1.45521
ENST00000537874.1	194165	3	1.24627e+18	0	0
ENST00000524892.6	255000	5	10000	0.4	1.42449
ENST00000398093.7	255000	3	10000	1.35	1.24898
ENST00000347596.2	255000	4	10000	1.7	1.15816
ENST00000282249.6	255000	3	10000	2	1.24694
ENST00000282251.9	131500	5	10000	0.15	1.10625
ENST00000531427.5	97593	5	10000	0.25	1.13824
ENST00000526794.1	255000	3	10000	0.15	1.23469
ENST00000304987.3	128463	4	10000	1.2	1.26957
ENST00000545380.5	255000	4	10000	0.2	1.2102
ENST00000415541.5	252679	45	20000	0.483333	1.21413
ENST00000264033.5	101874	6	10000	0.3	1.33333
ENST00000260197.11	181491	3	10000	0.6	1.29853
ENST00000532451.1	94645	4	10000	0.6	1.32188
ENST00000344762.5	87369	32	15000	0.95	1.38571
ENST00000525234.1	212581	4	10000	0.1	1.40125
ENST00000535572.5	158708	6	10000	0.15	1.22759
ENST00000447667.2	74446	4	10000	0.2	1.14583
ENST00000396373.8	245549	3	10000	0.05	1.30638
ENST00000544715.1	102865	3	10000	0.1	1.34444
ENST00000543091.1	145677	10	10000	2.14278e-122	1.23333
ENST00000540811.5	255000	3	10000	0.6	1.58878
ENST00000539780.5	131235	6	10000	0.9	1.09792
ENST00000381352.7	120864	22	15000	0.55	1.4
ENST00000615708.4	120009	7	10000	0.5	1.36136
ENST00000242737.5	111495	21	15000	0.3	1.18158
ENST00000381340.7	255000	9	15000	0.2	1.30938
ENST00000543534.5	115505	48	25000	0.4125	1.025
ENST00000551451.5	147976	3	10000	0.7	1.12222
ENST00000536562.5	203050	44	18652	0.455568	1.22158
ENST00000545147.5	130780	55	18792.3	0.465587	1.34504
ENST00000340811.8	106096	5	10000	1.25	1.23684
ENST00000636569.1	149715	4	10000	0.6	1.49074
ENST00000280871.8	255000	6	10000	0.8	1.32041
ENST00000298910.11	144208	4	10000	1.3	0.834615
ENST00000337898.10	119302	40	18566.7	0.442015	1.09665
ENST00000552108.6	120870	5	10000	0.6	1.52727
ENST00000546868.5	255000	3	10000	0.65	1.19286
ENST00000320560.12	216232	5	10000	0.2	1.26951
ENST00000588078.5	91366	4	10000	0.35	1.04062
ENST00000448732.1	120451	29	15000	1.05	1.38095
ENST00000347140.7	177242	26	15000	1.05	1.23281
ENST00000353364.7	156052	29	20000	0.366667	1.28333
ENST00000552115.5	86517	3	10000	0.5	1.36667
ENST00000228705.6	255000	4	10000	0.8	1.39592
ENST00000355086.7	255000	6	10000	0.5	1.38673
ENST00000535239.5	184272	3	10000	0.7	1.26029
ENST00000403681.6	142165	3	10000	1.1	1.66923
ENST00000393577.7	127414	4	10000	1.4	1.67174
ENST00000535721.1	177287	4	10000	0.15	1.48182
ENST00000550169.5	98628	74	18098.8	0.427427	1.16905
ENST00000362025.9	76324	4	10000	1.2	1.52692
ENST00000548159.5	110200	4	10000	0.6	1.1325
ENST00000551043.5	110163	4	10000	0.6	1.12
ENST00000266674.9	146541	6	10000	1.45	1.23519
ENST00000536515.5	144810	10	10000	1.5	1.26154
ENST00000261180.8	255000	8	14787.6	0.35	0.752769
ENST00000436898.5	86032	7	10000	0.5	1.04
ENST00000547544.5	108604	6	10000	0.35	1.31053
ENST00000261183.7	208010	7	10000	0.35	1.33846
ENST00000426126.6	90109	62	20000	0.533333	1.20714
ENST00000393240.7	255000	3	10000	0.8	1.41327
ENST00000457153.6	255000	4	10000	0.85	1.39694
ENST00000328827.8	106224	6	10000	7.95511e-96	1.32105
ENST00000550510.5	113604	6	10000	0.1	1.1325
ENST00000437004.6	161055	7	10000	0.05	1.165
ENST00000321196.7	255000	4	10000	2	1.56531
ENST00000546590.2	255000	5	10000	1.9	1.50612
ENST00000309041.11	92294	3	10000	1	1.30312
ENST00000552810.5	93197	3	10000	0.9	1.3125
ENST00000428670.7	120760	61	25000	0.675	1.59474
ENST00000547232.5	149686	70	18004.3	0.47327	1.38269
ENST00000339839.9	151667	49	19002.9	0.510837	1.36527
ENST00000451107.3	136085	5	10000	0.45	1.394
ENST00000542666.5	119531	30	20000	0.316667	1.42368
ENST00000543119.6	120057	72	25000	0.475	1.41579
ENST00000392911.6	76183	4	10000	0.85	1.12692
ENST00000392837.8	114722	5	10000	0.45	1.25
ENST00000470628.2	96760	5	10000	0.4	1.15
ENST00000389153.8	146609	3	10000	0.85	1.24444
ENST00000608853.5	147137	3	10000	0.75	1.24444
ENST00000551197.1	166966	62	23887.3	0.388178	1.37244
ENST00000281928.7	255000	17	20000	0.183333	1.35213
ENST00000455858.2	120184	4	10000	0.6	1.20682
ENST00000425217.5	255000	7	10000	1.85	1.15612
ENST00000542532.5	117430	5	10000	0.65	1.47857
ENST00000261833.11	191498	4	10000	0.9	1.07361
ENST00000536996.5	135057	5	10000	0.55	1.26
ENST00000353487.6	141862	4	10000	0.55	1.24808
ENST00000358808.6	151136	4	10000	0.7	1.10179
ENST00000537178.5	150590	4	10000	0.7	1.09821
ENST00000333479.11	99149	3	10000	0.95	1.31176
ENST00000458234.5	220872	60	17690.7	0.427214	1.0038
ENST00000610343.4	133160	4	10000	0.4	1.33333
ENST00000382871.3	127964	4	10000	0.4	1.33043
ENST00000476895.5	93685	64	20000	0.4	1.02857
ENST00000382374.8	111515	3	10000	0.3	1.0625
ENST00000316334.4	74494	5	10000	0.55	1.45833
ENST00000399613.1	156303	5	10000	0.3	1.25862
ENST00000380617.7	98547	3	10000	0.2	1.42647
ENST00000380615.7	104855	3	10000	0.2	1.45
ENST00000504114.5	105900	4	10000	0.8	1.10789
ENST00000482955.5	71895	45	20000	0.366667	1.33
ENST00000434425.5	148490	3	10000	0.3	1.15741
ENST00000280481.8	200003	4	10000	1.75	1.14211
ENST00000379589.3	255000	6	10000	1.1	1.38776
ENST00000379561.5	110931	40	20000	0.416667	1.37778
ENST00000405737.2	79458	7	10000	0.35	1.36923
ENST00000379310.7	255000	5	10000	0.45	1.32449
ENST00000281496.6	241784	5	10000	0.45	1.31413
ENST00000379274.6	189720	4	10000	1.05	1.44429
ENST00000261488.10	255000	5	10000	1.4	1.40816
ENST00000458659.2	143047	4	10000	1	1.25962
ENST00000340473.7	164395	37	25000	0.5	1.22407
ENST00000242848.8	98282	5	10000	0.4	1.12941
ENST00000311191.10	199873	36	19285.2	0.459983	1.46646
ENST00000389797.7	189474	36	20000	0.5	1.46061
ENST00000267163.4	178212	50	20000	0.616667	1.25161
ENST00000378383.5	170779	5	10000	0.15	1.15313
ENST00000541916.5	233170	5	10000	0.2	1.16818
ENST00000261667.7	93615	86	25000	0.5625	1.48462
ENST00000398119.6	91643	3	10000	0.95	1.23125
ENST00000298125.6	183200	7	10000	0.15	1.37647
ENST00000242839.8	78822	4	10000	0.7	1.53846
ENST00000267215.8	255000	46	18504.3	0.487183	1.15508
ENST00000400324.8	255000	37	18984	0.485185	1.16185
ENST00000196169.7	177422	55	23971.8	0.633368	1.2778
ENST00000484389.6	131899	23	18792.3	0.445622	1.15643
ENST00000377865.6	255000	4	10000	0.6	1.42755
ENST00000611519.4	255000	5	10000	0.4	1.43061
ENST00000615625.1	233756	5	10000	0.75	1.27614
ENST00000376887.8	255000	3	10000	0.15	1.1449
ENST00000629385.1	205503	4	10000	0.1	1.1359
ENST00000376795.6	114686	48	22993.4	0.199817	1.21433
ENST00000376747.7	251804	7	10000	8.89773e-69	1.11875
ENST00000345429.10	171766	4	10000	0.8	1.43594
ENST00000595437.5	255000	3	10000	0.35	1.26531
ENST00000376581.9	101825	4	10000	0.5	1.13611
ENST00000539966.5	131679	42	25000	0.35	1.1881
ENST00000397517.6	126953	37	25000	0.3375	1.2075
ENST00000427887.2	226423	4	10000	0.85	1.45116
ENST00000355700.9	184542	4	10000	0.6	1.20882
ENST00000376279.7	255000	24	15000	0.45	1.36875
ENST00000376285.5	255000	8	10000	0.4	1.35408
ENST00000543140.5	116389	3	10000	0.5	1.39048
ENST00000375820.8	158187	3	10000	0.5	1.39828
ENST00000360467.5	205761	4	10000	0.4	1.09615
ENST00000375736.8	151994	8	10000	0.5	1.10714
ENST00000375630.6	196840	55	23282.9	0.412018	1.16597
ENST00000539517.6	151866	3	10000	1.15	1.34464
ENST00000616995.4	255000	24	19481.8	0.333896	1.47617
ENST00000555358.5	130975	5	10000	0.8	1.22917
ENST00000355683.9	132603	6	10000	0.8	1.22917
ENST00000553700.5	107687	3	10000	0.65	1.19737
ENST00000551314.1	226199	3	10000	1.05	1.12093
ENST00000346562.6	255000	4	10000	1.65	1.1051
ENST00000356141.8	255000	3	10000	1.7	1.11735
ENST00000382422.6	122201	3	10000	0.45	1.20909
ENST00000557611.1	255000	6	10000	0.7	0.940816
ENST00000396294.6	255000	4	10000	0.45	1.29184
ENST00000348007.7	83281	6	10000	0.05	1.69286
ENST00000361577.7	112224	5	10000	0.6	1.3
ENST00000361462.6	112193	4	10000	0.65	1.2975
ENST00000399232.6	255000	34	20000	0.816667	1.45319
ENST00000245441.9	111359	3	10000	0.25	1.33
ENST00000360392.4	99013	4	10000	1.9	1.75
ENST00000554399.1	113264	5	10000	0.4	1.0325
ENST00000554335.5	222031	4	10000	1.4	1.34881
ENST00000420358.2	85947	3	10000	1	1.24333
ENST00000395308.5	100395	6	10000	0.4	1.35278
ENST00000559044.5	172531	36	25000	0.4375	1.49828
ENST00000561019.1	171185	44	23931.2	0.461387	1.46346
ENST00000261244.9	120056	4	10000	0.85	1.1
ENST00000556596.1	77516	8	10000	0.25	1.42308
ENST00000556135.1	102810	9	10000	0.25	1.46389
ENST00000332981.9	229260	44	18565.5	0.42031	1.09501
ENST00000555899.1	167538	3	10000	0.3	1.30161
ENST00000337537.7	172018	3	10000	0.3	1.29531
ENST00000341472.9	107886	4	10000	0.05	1.39474
ENST00000556626.5	133601	4	10000	0.5	1.11042
ENST00000459628.5	255000	25	24361.9	0.246434	1.35051
ENST00000553936.5	255000	27	25000	0.2875	1.34891
ENST00000556433.5	85071	4	10000	0.75	1.43
ENST00000193403.10	105298	5	10000	0.75	1.36579
ENST00000554215.5	100745	5	10000	0.55	1.175
ENST00000342745.4	103547	9	10000	0.2	1.23889
ENST00000439984.7	202380	3	10000	0.35	1.32368
ENST00000553453.5	208922	5	10000	0.35	1.33333
ENST00000555652.5	255000	4	10000	0.35	1.26633
ENST00000556509.5	255000	3	10000	0.1	1.21224
ENST00000557031.5	102212	4	10000	0.15	1.28611
ENST00000356296.8	183304	4	10000	0.15	1.325
ENST00000216484.6	110777	9	10000	0.2	1.275
ENST00000557594.5	255000	3	10000	0.2	1.47755
ENST00000428277.6	255000	3	10000	0.3	1.4449
ENST00000216517.10	111523	5	10000	0.4	1.245
ENST00000380664.9	176686	3	10000	1.45	1.33788
ENST00000556609.5	157641	3	10000	1.35	1.18448
ENST00000536315.6	188631	30	20000	0.316667	1.24545
ENST00000554999.5	157086	7	10000	0.1	1.08276
ENST00000354313.7	179005	113	17005.7	0.404471	1.11171
ENST00000256339.8	255000	3	10000	1	0.533673
ENST00000304338.7	105424	5	10000	0.35	1.34211
ENST00000556714.5	107545	5	10000	0.65	1.15263
ENST00000555775.5	153438	3	10000	0.85	0.930357
ENST00000554175.5	78972	3	10000	0.9	0.992308
ENST00000359520.11	139519	3	10000	1.05	0.964
ENST00000262241.6	137916	5	10000	0.65	1.258
ENST00000361246.6	125084	59	25000	0.65	1.3275
ENST00000622697.4	229528	6	10000	0.55	1.16512
ENST00000558402.5	232342	30	19414.6	0.466413	1.24428
ENST00000559709.5	167735	35	20000	0.483333	1.27414
ENST00000558371.5	255000	16	15000	0.3	1.13958
ENST00000637519.1	138549	43	25000	0.3625	1.49318
ENST00000501169.2	255000	3	10000	0.95	0.853061
ENST00000559210.1	255000	3	10000	1	0.840816
ENST00000566621.5	230613	8	10000	0.4	1.26136
ENST00000437989.6	230401	4	10000	0.45	1.2625
ENST00000299084.8	104924	5	10000	0.45	1.11944
ENST00000299092.3	121194	73	20000	0.716667	1.6225
ENST00000558357.5	136667	4	10000	0.55	1.004
ENST00000458630.5	255000	8	15000	0.35	1.49271
ENST00000417257.5	255000	38	19481.8	0.595792	1.48872
ENST00000560955.5	126479	6	10000	0.2	1.32609
ENST00000560508.1	97100	4	10000	0.65	1.1
ENST00000449909.7	173824	4	10000	0.5	1.35625
ENST00000553916.5	215538	9	10000	0.15	1.30488
ENST00000358212.10	221763	16	15000	0.25	1.33415
ENST00000561152.1	246912	5	10000	0.75	1.19787
ENST00000430119.6	111849	3	10000	0.15	1.485
ENST00000537372.5	112500	5	10000	0.15	1.485
ENST00000402627.5	152723	30	20000	0.266667	1.37308
ENST00000260408.7	161172	31	20000	0.266667	1.36429
ENST00000557998.5	108294	3	10000	0.9	1.02105
ENST00000558571.1	145045	5	10000	0.3	1.29815
ENST00000551975.5	255000	5	10000	0.1	1.44388
ENST00000561400.1	137819	65	25000	0.5375	1.29773
ENST00000431932.6	130348	6	10000	0.65	1.18958
ENST00000564674.5	100836	6	10000	0.6	1.18889
ENST00000307102.9	105496	5	10000	0.1	1.32368
ENST00000327367.8	129351	4	10000	0.75	1.28696
ENST00000535744.5	117323	4	10000	0.6	1.16667
ENST00000562190.1	88022	4	10000	0.45	1.16667
ENST00000545237.1	133489	5	10000	0.45	1.20417
ENST00000261858.6	111566	5	10000	0.15	1.2425
ENST00000539319.5	106454	30	15000	0.9	1.34722
ENST00000322954.10	109040	4	10000	0.95	1.30263
ENST00000444904.5	255000	5	10000	0.75	1.23571
ENST00000570085.5	87058	6	10000	0.4	1.07
ENST00000339362.9	253496	7	10000	0.65	1.31146
ENST00000558964.5	250109	8	10000	1	1.31979
ENST00000560595.5	94814	5	10000	0.6	1.10625
ENST00000560044.5	80095	5	10000	0.6	1.08571
ENST00000565970.5	199354	7	10000	0.9	1.20946
ENST00000564590.5	202479	8	10000	0.9	1.23553
ENST00000569159.1	167596	32	20000	0.45	1.42586
ENST00000560626.6	255000	27	20000	0.45	1.41064
ENST00000558494.5	78647	58	20000	0.466667	1.2
ENST00000618205.4	78233	9	10000	0.25	1.10769
ENST00000622346.4	193528	5	10000	0.6	1.025
ENST00000299633.6	80266	6	10000	0.55	1.29286
ENST00000324537.5	171209	11	10000	3.73859e-168	1.13281
ENST00000560256.1	140753	61	25000	0.5375	1.32391
ENST00000268035.10	255000	5	10000	0.65	1.44592
ENST00000558762.5	255000	3	10000	0.65	1.44694
